[16/Mar/2026:14:51:16 +0000] - 403 403 - GET https dnd.throne.middl.earth "/" [Client 10.0.0.80] [Length 173] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://proxy.middl.earth/"
[16/Mar/2026:14:51:16 +0000] - 403 403 - GET https dnd.throne.middl.earth "/favicon.ico" [Client 10.0.0.80] [Length 173] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.throne.middl.earth/"
[16/Mar/2026:14:51:30 +0000] - 403 403 - GET http dnd.middl.earth "/" [Client 104.23.197.96] [Length 159] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://proxy.middl.earth/"
[16/Mar/2026:14:51:30 +0000] - 403 403 - GET http dnd.middl.earth "/favicon.ico" [Client 104.23.243.179] [Length 159] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/"
[16/Mar/2026:14:53:15 +0000] - 200 200 - GET http dnd.middl.earth "/" [Client 104.23.197.96] [Length 400] [Gzip 1.74] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://proxy.middl.earth/"
[16/Mar/2026:14:53:15 +0000] - 200 200 - GET http dnd.middl.earth "/src/main.jsx" [Client 104.23.197.97] [Length 1626] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/"
[16/Mar/2026:14:53:15 +0000] - 200 200 - GET http dnd.middl.earth "/@vite/client" [Client 104.23.197.96] [Length 204375] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/"
[16/Mar/2026:14:53:16 +0000] - 200 200 - GET http dnd.middl.earth "/node_modules/vite/dist/client/env.mjs" [Client 104.23.197.96] [Length 3478] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/@vite/client"
[16/Mar/2026:14:53:16 +0000] - 200 200 - GET http dnd.middl.earth "/@react-refresh" [Client 104.23.197.97] [Length 111894] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/"
[16/Mar/2026:14:53:16 +0000] - 200 200 - GET http dnd.middl.earth "/src/App.jsx" [Client 104.23.197.96] [Length 171273] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/src/main.jsx"
[16/Mar/2026:14:53:16 +0000] - 200 200 - GET http dnd.middl.earth "/src/index.css" [Client 104.23.243.247] [Length 631] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/src/main.jsx"
[16/Mar/2026:14:53:16 +0000] - 200 200 - GET http dnd.middl.earth "/node_modules/.vite/deps/react.js?v=373ee855" [Client 104.23.197.239] [Length 767] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/src/main.jsx"
[16/Mar/2026:14:53:16 +0000] - 200 200 - GET http dnd.middl.earth "/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=373ee855" [Client 104.23.197.164] [Length 10510] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/src/main.jsx"
[16/Mar/2026:14:53:16 +0000] - 200 200 - GET http dnd.middl.earth "/node_modules/.vite/deps/react-dom_client.js?v=373ee855" [Client 104.23.243.32] [Length 820919] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/src/main.jsx"
[16/Mar/2026:14:53:16 +0000] - 200 200 - GET http dnd.middl.earth "/node_modules/.vite/deps/react-Na5-BvaJ.js?v=373ee855" [Client 104.23.243.93] [Length 38356] [Gzip -] [Sent-to 10.0.30.170] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" "https://dnd.middl.earth/node_modules/.vite/deps/react.js?v=373ee855"
