[23/Mar/2026:13:55:12 +0000] - 200 200 - GET http audio.middl.earth "/" [Client 162.158.243.148] [Length 1338] [Gzip 3.12] [Sent-to 10.0.50.11] "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity" "-"
[23/Mar/2026:17:12:08 +0000] - 404 404 - GET http audio.middl.earth "/wp-content/plugins/hellopress/wp_filemanager.php" [Client 162.158.129.225] [Length 174] [Gzip 1.15] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:08 +0000] - 404 404 - GET http audio.middl.earth "/gptsh.php" [Client 162.158.129.128] [Length 148] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:09 +0000] - 404 404 - GET http audio.middl.earth "/xocx.php" [Client 162.158.129.128] [Length 148] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:09 +0000] - 404 404 - GET http audio.middl.earth "/zample.php" [Client 162.158.129.128] [Length 149] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:09 +0000] - 404 404 - GET http audio.middl.earth "/read.php" [Client 162.158.129.128] [Length 147] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:09 +0000] - 404 404 - GET http audio.middl.earth "/wp-kd4xalrg7m.php" [Client 162.158.129.225] [Length 156] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:09 +0000] - 404 404 - GET http audio.middl.earth "/hplfuns.php" [Client 162.158.129.225] [Length 150] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:09 +0000] - 404 404 - GET http audio.middl.earth "/xa.php" [Client 162.158.129.225] [Length 146] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:10 +0000] - 404 404 - GET http audio.middl.earth "/100.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:10 +0000] - 404 404 - GET http audio.middl.earth "/1998.php" [Client 162.158.129.225] [Length 148] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:10 +0000] - 404 404 - GET http audio.middl.earth "//wp-mter.php" [Client 162.158.129.225] [Length 150] [Gzip 1.09] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:10 +0000] - 404 404 - GET http audio.middl.earth "/inege.php" [Client 162.158.129.225] [Length 148] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:10 +0000] - 404 404 - GET http audio.middl.earth "/19.php" [Client 162.158.129.225] [Length 146] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:11 +0000] - 404 404 - GET http audio.middl.earth "/fe5.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:11 +0000] - 404 404 - GET http audio.middl.earth "/file61.php" [Client 162.158.129.225] [Length 150] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:11 +0000] - 404 404 - GET http audio.middl.earth "/uuu.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:12 +0000] - 404 404 - GET http audio.middl.earth "/settings.php" [Client 162.158.129.225] [Length 148] [Gzip 1.10] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:12 +0000] - 404 404 - GET http audio.middl.earth "/sf.php" [Client 162.158.129.225] [Length 146] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:12 +0000] - 404 404 - GET http audio.middl.earth "/eee.php" [Client 162.158.129.225] [Length 146] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:12 +0000] - 404 404 - GET http audio.middl.earth "/no1.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:12 +0000] - 404 404 - GET http audio.middl.earth "/w2025.php" [Client 162.158.129.225] [Length 149] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:12 +0000] - 404 404 - GET http audio.middl.earth "/swallowable.php" [Client 162.158.129.225] [Length 153] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:12 +0000] - 404 404 - GET http audio.middl.earth "/fvvff.php" [Client 162.158.129.225] [Length 149] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:13 +0000] - 404 404 - GET http audio.middl.earth "/a2.php" [Client 162.158.129.225] [Length 146] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:13 +0000] - 404 404 - GET http audio.middl.earth "/sty.php" [Client 162.158.129.225] [Length 147] [Gzip 1.07] [Sent-to 10.0.50.11] "-" "-"
[23/Mar/2026:17:12:13 +0000] - 404 404 - GET http audio.middl.earth "/txets.php" [Client 162.158.129.225] [Length 148] [Gzip 1.08] [Sent-to 10.0.50.11] "-" "-"
